liquibase_pickup_districts_import_system_id,liquibase_trash_types_import_system_id,date
HUETHR,HUEBRO,2024-06-26
HUETHR,HUEBRO,2024-07-10
HUETHR,HUEBRO,2024-07-24
HUETHR,HUEBRO,2024-08-07
HUETHR,HUEBRO,2024-08-21
HUETHR,HUEBRO,2024-09-04
HUETHR,HUEBRO,2024-09-18
HUETHR,HUEBRO,2024-10-02
HUETHR,HUEBRO,2024-10-16
HUETHR,HUEBRO,2024-10-30
HUETHR,HUEBRO,2024-11-13
HUETHR,HUEBRO,2024-11-27
HUETHR,HUEBRO,2024-12-11
HUETHR,HUEBRO,2024-12-24

HUEFOU,HUEBRO,2024-01-10
HUEFOU,HUEBRO,2024-01-24
HUEFOU,HUEBRO,2024-02-07
HUEFOU,HUEBRO,2024-02-21
HUEFOU,HUEBRO,2024-03-06
HUEFOU,HUEBRO,2024-03-20
HUEFOU,HUEBRO,2024-04-04
HUEFOU,HUEBRO,2024-04-17
HUEFOU,HUEBRO,2024-05-02
HUEFOU,HUEBRO,2024-05-15
HUEFOU,HUEBRO,2024-05-29
HUEFOU,HUEBRO,2024-06-12
HUEFOU,HUEBRO,2024-06-26
HUEFOU,HUEBRO,2024-07-10
HUEFOU,HUEBRO,2024-07-24
HUEFOU,HUEBRO,2024-08-07
HUEFOU,HUEBRO,2024-08-21
HUEFOU,HUEBRO,2024-09-04
HUEFOU,HUEBRO,2024-09-18
HUEFOU,HUEBRO,2024-10-02
HUEFOU,HUEBRO,2024-10-16
HUEFOU,HUEBRO,2024-10-30
HUEFOU,HUEBRO,2024-11-13
HUEFOU,HUEBRO,2024-11-27
HUEFOU,HUEBRO,2024-12-11
HUEFOU,HUEBRO,2024-12-24

HUEFIV,HUEBRO,2024-01-10
HUEFIV,HUEBRO,2024-01-24
HUEFIV,HUEBRO,2024-02-07
HUEFIV,HUEBRO,2024-02-21
HUEFIV,HUEBRO,2024-03-06
HUEFIV,HUEBRO,2024-03-20
HUEFIV,HUEBRO,2024-04-04
HUEFIV,HUEBRO,2024-04-17
HUEFIV,HUEBRO,2024-05-02
HUEFIV,HUEBRO,2024-05-15
HUEFIV,HUEBRO,2024-05-29
HUEFIV,HUEBRO,2024-06-12
HUEFIV,HUEBRO,2024-06-26
HUEFIV,HUEBRO,2024-07-10
HUEFIV,HUEBRO,2024-07-24
HUEFIV,HUEBRO,2024-08-07
HUEFIV,HUEBRO,2024-08-21
HUEFIV,HUEBRO,2024-09-04
HUEFIV,HUEBRO,2024-09-18
HUEFIV,HUEBRO,2024-10-02
HUEFIV,HUEBRO,2024-10-16
HUEFIV,HUEBRO,2024-10-30
HUEFIV,HUEBRO,2024-11-13
HUEFIV,HUEBRO,2024-11-27
HUEFIV,HUEBRO,2024-12-11
HUEFIV,HUEBRO,2024-12-24

HUESIX,HUEBRO,2024-01-10
HUESIX,HUEBRO,2024-01-24
HUESIX,HUEBRO,2024-02-07
HUESIX,HUEBRO,2024-02-21
HUESIX,HUEBRO,2024-03-06
HUESIX,HUEBRO,2024-03-20
HUESIX,HUEBRO,2024-04-04
HUESIX,HUEBRO,2024-04-17
HUESIX,HUEBRO,2024-05-02
HUESIX,HUEBRO,2024-05-15
HUESIX,HUEBRO,2024-05-29
HUESIX,HUEBRO,2024-06-12
HUESIX,HUEBRO,2024-06-26
HUESIX,HUEBRO,2024-07-10
HUESIX,HUEBRO,2024-07-24
HUESIX,HUEBRO,2024-08-07
HUESIX,HUEBRO,2024-08-21
HUESIX,HUEBRO,2024-09-04
HUESIX,HUEBRO,2024-09-18
HUESIX,HUEBRO,2024-10-02
HUESIX,HUEBRO,2024-10-16
HUESIX,HUEBRO,2024-10-30
HUESIX,HUEBRO,2024-11-13
HUESIX,HUEBRO,2024-11-27
HUESIX,HUEBRO,2024-12-11
HUESIX,HUEBRO,2024-12-24

HUEONE,HUEBLU,2024-01-02
