liquibase_pickup_districts_import_system_id,liquibase_trash_types_import_system_id,date
HUECKONE,HUEBIBRO,2024-05-15
HUECKONE,HUEBIBRO,2024-05-29
HUECKONE,HUEBIBRO,2024-06-12
HUECKONE,HUEBIBRO,2024-06-26
HUECKONE,HUEBIBRO,2024-07-10
HUECKONE,HUEBIBRO,2024-07-24
HUECKONE,HUEBIBRO,2024-08-07
HUECKONE,HUEBIBRO,2024-08-21
HUECKONE,HUEBIBRO,2024-09-04
HUECKONE,HUEBIBRO,2024-09-18
HUECKONE,HUEBIBRO,2024-10-02
HUECKONE,HUEBIBRO,2024-10-16
HUECKONE,HUEBIBRO,2024-10-30
HUECKONE,HUEBIBRO,2024-11-13
HUECKONE,HUEBIBRO,2024-11-27
HUECKONE,HUEBIBRO,2024-12-11
HUECKONE,HUEBIBRO,2024-12-24

HUECKTWO,HUEBIBRO,2024-01-10
HUECKTWO,HUEBIBRO,2024-01-24
HUECKTWO,HUEBIBRO,2024-02-07
HUECKTWO,HUEBIBRO,2024-02-21
HUECKTWO,HUEBIBRO,2024-03-06
HUECKTWO,HUEBIBRO,2024-03-20
HUECKTWO,HUEBIBRO,2024-04-04
HUECKTWO,HUEBIBRO,2024-04-17
HUECKTWO,HUEBIBRO,2024-05-02
HUECKTWO,HUEBIBRO,2024-05-15
HUECKTWO,HUEBIBRO,2024-05-29
HUECKTWO,HUEBIBRO,2024-06-12
HUECKTWO,HUEBIBRO,2024-06-26
HUECKTWO,HUEBIBRO,2024-07-10
HUECKTWO,HUEBIBRO,2024-07-24
HUECKTWO,HUEBIBRO,2024-08-07
HUECKTWO,HUEBIBRO,2024-08-21
HUECKTWO,HUEBIBRO,2024-09-04
HUECKTWO,HUEBIBRO,2024-09-18
HUECKTWO,HUEBIBRO,2024-10-02
HUECKTWO,HUEBIBRO,2024-10-16
HUECKTWO,HUEBIBRO,2024-10-30
HUECKTWO,HUEBIBRO,2024-11-13
HUECKTWO,HUEBIBRO,2024-11-27
HUECKTWO,HUEBIBRO,2024-12-11
HUECKTWO,HUEBIBRO,2024-12-24

HUECKTHR,HUEBIBRO,2024-01-10
HUECKTHR,HUEBIBRO,2024-01-24
HUECKTHR,HUEBIBRO,2024-02-07
HUECKTHR,HUEBIBRO,2024-02-21
HUECKTHR,HUEBIBRO,2024-03-06
HUECKTHR,HUEBIBRO,2024-03-20
HUECKTHR,HUEBIBRO,2024-04-04
HUECKTHR,HUEBIBRO,2024-04-17
HUECKTHR,HUEBIBRO,2024-05-02
HUECKTHR,HUEBIBRO,2024-05-15
HUECKTHR,HUEBIBRO,2024-05-29
HUECKTHR,HUEBIBRO,2024-06-12
HUECKTHR,HUEBIBRO,2024-06-26
HUECKTHR,HUEBIBRO,2024-07-10
HUECKTHR,HUEBIBRO,2024-07-24
HUECKTHR,HUEBIBRO,2024-08-07
HUECKTHR,HUEBIBRO,2024-08-21
HUECKTHR,HUEBIBRO,2024-09-04
HUECKTHR,HUEBIBRO,2024-09-18
HUECKTHR,HUEBIBRO,2024-10-02
HUECKTHR,HUEBIBRO,2024-10-16
HUECKTHR,HUEBIBRO,2024-10-30
HUECKTHR,HUEBIBRO,2024-11-13
HUECKTHR,HUEBIBRO,2024-11-27
HUECKTHR,HUEBIBRO,2024-12-11
HUECKTHR,HUEBIBRO,2024-12-24

HUECKFOU,HUEBIBRO,2024-01-10
HUECKFOU,HUEBIBRO,2024-01-24
HUECKFOU,HUEBIBRO,2024-02-07
HUECKFOU,HUEBIBRO,2024-02-21
HUECKFOU,HUEBIBRO,2024-03-06
HUECKFOU,HUEBIBRO,2024-03-20
HUECKFOU,HUEBIBRO,2024-04-04
HUECKFOU,HUEBIBRO,2024-04-17
HUECKFOU,HUEBIBRO,2024-05-02
HUECKFOU,HUEBIBRO,2024-05-15
HUECKFOU,HUEBIBRO,2024-05-29
HUECKFOU,HUEBIBRO,2024-06-12
HUECKFOU,HUEBIBRO,2024-06-26
HUECKFOU,HUEBIBRO,2024-07-10
HUECKFOU,HUEBIBRO,2024-07-24
HUECKFOU,HUEBIBRO,2024-08-07
HUECKFOU,HUEBIBRO,2024-08-21
HUECKFOU,HUEBIBRO,2024-09-04
HUECKFOU,HUEBIBRO,2024-09-18
HUECKFOU,HUEBIBRO,2024-10-02
HUECKFOU,HUEBIBRO,2024-10-16
HUECKFOU,HUEBIBRO,2024-10-30
HUECKFOU,HUEBIBRO,2024-11-13
HUECKFOU,HUEBIBRO,2024-11-27
HUECKFOU,HUEBIBRO,2024-12-11
HUECKFOU,HUEBIBRO,2024-12-24

HUECKFIV,HUEBIBRO,2024-01-10
HUECKFIV,HUEBIBRO,2024-01-24
HUECKFIV,HUEBIBRO,2024-02-07
HUECKFIV,HUEBIBRO,2024-02-21
HUECKFIV,HUEBIBRO,2024-03-06
HUECKFIV,HUEBIBRO,2024-03-20
HUECKFIV,HUEBIBRO,2024-04-04
HUECKFIV,HUEBIBRO,2024-04-17
HUECKFIV,HUEBIBRO,2024-05-02
HUECKFIV,HUEBIBRO,2024-05-15
HUECKFIV,HUEBIBRO,2024-05-29
HUECKFIV,HUEBIBRO,2024-06-12
HUECKFIV,HUEBIBRO,2024-06-26
HUECKFIV,HUEBIBRO,2024-07-10
HUECKFIV,HUEBIBRO,2024-07-24
HUECKFIV,HUEBIBRO,2024-08-07
HUECKFIV,HUEBIBRO,2024-08-21
HUECKFIV,HUEBIBRO,2024-09-04
HUECKFIV,HUEBIBRO,2024-09-18
HUECKFIV,HUEBIBRO,2024-10-02
HUECKFIV,HUEBIBRO,2024-10-16
HUECKFIV,HUEBIBRO,2024-10-30
HUECKFIV,HUEBIBRO,2024-11-13
HUECKFIV,HUEBIBRO,2024-11-27
HUECKFIV,HUEBIBRO,2024-12-11
HUECKFIV,HUEBIBRO,2024-12-24

HUECKSIX,HUEBIBRO,2024-01-10
HUECKSIX,HUEBIBRO,2024-01-24
HUECKSIX,HUEBIBRO,2024-02-07
HUECKSIX,HUEBIBRO,2024-02-21
HUECKSIX,HUEBIBRO,2024-03-06
HUECKSIX,HUEBIBRO,2024-03-20
HUECKSIX,HUEBIBRO,2024-04-04
HUECKSIX,HUEBIBRO,2024-04-17
HUECKSIX,HUEBIBRO,2024-05-02
HUECKSIX,HUEBIBRO,2024-05-15
HUECKSIX,HUEBIBRO,2024-05-29
HUECKSIX,HUEBIBRO,2024-06-12
HUECKSIX,HUEBIBRO,2024-06-26
HUECKSIX,HUEBIBRO,2024-07-10
HUECKSIX,HUEBIBRO,2024-07-24
HUECKSIX,HUEBIBRO,2024-08-07
HUECKSIX,HUEBIBRO,2024-08-21
HUECKSIX,HUEBIBRO,2024-09-04
HUECKSIX,HUEBIBRO,2024-09-18
HUECKSIX,HUEBIBRO,2024-10-02
HUECKSIX,HUEBIBRO,2024-10-16
HUECKSIX,HUEBIBRO,2024-10-30
HUECKSIX,HUEBIBRO,2024-11-13
HUECKSIX,HUEBIBRO,2024-11-27
HUECKSIX,HUEBIBRO,2024-12-11
HUECKSIX,HUEBIBRO,2024-12-24

HUECKONE,HUEPABLU,2024-01-02
HUECKONE,HUEPABLU,2024-01-29
HUECKONE,HUEPABLU,2024-02-26
HUECKONE,HUEPABLU,2024-03-25
HUECKONE,HUEPABLU,2024-04-22
HUECKONE,HUEPABLU,2024-05-21
HUECKONE,HUEPABLU,2024-06-17
HUECKONE,HUEPABLU,2024-07-15
HUECKONE,HUEPABLU,2024-08-12
HUECKONE,HUEPABLU,2024-09-09
HUECKONE,HUEPABLU,2024-10-07
HUECKONE,HUEPABLU,2024-11-04
HUECKONE,HUEPABLU,2024-12-02
HUECKONE,HUEPABLU,2024-12-30

HUECKTHR,HUEPABLU,2024-01-02
HUECKTHR,HUEPABLU,2024-01-29
HUECKTHR,HUEPABLU,2024-02-26
HUECKTHR,HUEPABLU,2024-03-25
HUECKTHR,HUEPABLU,2024-04-22
HUECKTHR,HUEPABLU,2024-05-21
HUECKTHR,HUEPABLU,2024-06-17
HUECKTHR,HUEPABLU,2024-07-15
